Ref,Val,Package,PosX,PosY,Rot,Side
"CN3(OUT)1","XT30(2+2)PB-M.G.B","XT30(2+2)PB-M.G.B",-32.000000,0.000000,90.000000,top
"CN3(OUT)2","XT30(2+2)PB-M.G.B","XT30(2+2)PB-M.G.B",32.000000,0.000000,90.000000,top
"D1","LTST-C190KGKT","LTST-C190KGKT",-17.190000,15.805000,90.000000,top
"D2","LITEON LTST-C191KRKT","LTST_C191KRKT",-15.590000,15.750000,90.000000,top
"H1","Phase A","Pad_Square_Vias_6.5x6.5mm",-14.500000,-24.000000,0.000000,top
"H2","Phase A","Pad_Square_Vias_6.5x6.5mm",0.000000,-24.000000,0.000000,top
"H3","Phase A","Pad_Square_Vias_6.5x6.5mm",14.500000,-24.000000,0.000000,top
"H4","MountingHole","MountingHole_2.2mm_M2_Pad",23.000000,23.500000,0.000000,top
"H5","MountingHole","MountingHole_2.2mm_M2_Pad",-23.000000,23.500000,0.000000,top
"H6","MountingHole","MountingHole_2.2mm_M2_Pad",23.000000,-23.500000,0.000000,top
"H7","MountingHole","MountingHole_2.2mm_M2_Pad",-23.000000,-23.500000,0.000000,top
"J1","BM07B-SRSS-TB(LF)(SN)","BM07B-SRSS-TB",-16.000000,28.000000,30.000000,top
"J2","BM07B-SRSS-TB(LF)(SN)","BM07B-SRSS-TB",16.000000,28.000000,-30.000000,top
"J3","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",-20.550000,19.115000,0.000000,top
"Q1","FDMT80080DC","FDMT80040DC_compact",-24.500000,-5.300000,90.000000,top
"Q2","FDMT80080DC","FDMT80040DC_compact",-14.500000,-11.000000,-90.000000,top
"Q3","FDMT80080DC","FDMT80040DC_compact",5.000000,-15.000000,90.000000,top
"Q4","FDMT80080DC","FDMT80040DC_compact",-5.000000,-15.000000,-90.000000,top
"Q5","FDMT80080DC","FDMT80040DC_compact",14.500000,-11.000000,90.000000,top
"Q6","FDMT80080DC","FDMT80040DC_compact",24.500000,-5.300000,-90.000000,top
"R2","RT0402DRE0710KL","RT0402DRE0710KL",-14.175000,15.665000,90.000000,top
"R4","RC0402FR-0710KL","RC0402FR_0710KL",5.621200,10.660000,180.000000,top
"R5","RT0402DRE0710KL","RT0402DRE0710KL",-7.385000,31.220000,0.000000,top
"R6","YAGEO RC0603FR-07200KL","YAGEO RC0603FR-07200KL",-27.100000,8.425000,90.000000,top
"R7","200oh","RC0402JR-07200RL",-17.190000,18.482000,-90.000000,top
"R8","200oh","RC0402JR-07200RL",-15.590000,18.518000,-90.000000,top
"R16","WSLF25121L000FEA","WSLF25121L000FEA",-12.000000,-2.500000,180.000000,top
"R17","WSLF25121L000FEA","WSLF25121L000FEA",0.315400,-6.844200,180.000000,top
"R18","WSLF25121L000FEA","WSLF25121L000FEA",13.000000,-2.500000,0.000000,top
"TP3","+5V TestPoint","TestPoint_Pad_D1.0mm",21.025000,19.850000,0.000000,top
"TP4","+3.3V TestPoint","TestPoint_Pad_D1.0mm",-14.700000,22.900000,0.000000,top
"TP5","TP_Can_tx","TestPoint_Pad_D1.0mm",14.825000,21.975000,0.000000,top
"TP6","TP_Can_tx","TestPoint_Pad_D1.0mm",12.550000,20.900000,0.000000,top
"TP7","TP_MOSI","TestPoint_Pad_D1.0mm",-9.600000,18.950000,0.000000,top
"TP8","TP_CLK","TestPoint_Pad_D1.0mm",-11.850000,22.225000,0.000000,top
"TP9","TP_CS","TestPoint_Pad_D1.0mm",-9.600000,23.000000,0.000000,top
"TP10","TP_Can_tx","TestPoint_Pad_D1.0mm",-11.850000,20.000000,0.000000,top
"TP12","TP_CS","TestPoint_Pad_D1.0mm",6.800000,6.175000,0.000000,top
"U1","STM32F446RET6","STM32F446RCT6",0.100000,19.200000,-90.000000,top
"U2","DRV8353SRTAR","DRV8353SRTAR",0.000000,7.000000,45.000000,top
"U3","MCP2542FD-E/MF","MCP2542FD_E_MF",17.625001,18.200000,-90.000000,top
